Symbol,Name,Last Sale,Net Change,% Change,MarketCap,Country,IPO Year,Volume,Sector,Industry
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.39,-0.0353,-2.477%,12673343.00,United States,1999,1109,Real Estate,Real Estate Investment Trusts
IMH,Impac Mortgage Holdings Inc. Common Stock ,$0.2601,0.0001,0.038%,9511565.00,United States,1997,16928,Finance,Finance: Consumer Services
IMO,Imperial Oil Limited Common Stock,$53.87,-0.77,-1.409%,31468306919.00,Canada,1929,450610,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$4.85,-0.12,-2.414%,49192066.00,,2019,69203,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$9.22,0.30,3.363%,192644976.00,United States,,44712,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$4.0122,-0.2078,-4.924%,,,2022,9488,Technology,EDP Services
INTT,inTest Corporation Common Stock,$21.30,-1.41,-6.209%,236884947.00,United States,1997,281756,Technology,Semiconductors
INUV,Inuvo Inc.,$0.3302,0.0002,0.061%,40090278.00,United States,,125754,Consumer Discretionary,Advertising
IOR,Income Opportunity Realty Investors Inc. Common Stock,$11.01,0.00,0.00%,45894238.00,United States,1987,16,Finance,Diversified Financial Services
IPVF,InterPrivate III Financial Partners Inc. Class A Common Stock,$10.20,0.00,0.00%,339009750.00,,2021,7,Industrials,Consumer Electronics/Appliances
ISDR,Issuer Direct Corporation Common Stock,$19.47,-0.23,-1.168%,73811159.00,United States,,7975,Technology,Computer Software: Prepackaged Software
ITP,IT Tech Packaging Inc. Common Stock,$0.47,0.03,6.818%,4730982.00,China,,94135,Basic Materials,Paper
ITRG,Integra Resources Corp. Common Shares,$0.6117,-0.0283,-4.422%,48791449.00,,,280845,,
JOB,GEE Group Inc. Common Stock,$0.4463,0.0158,3.67%,51079238.00,United States,1968,342886,Consumer Discretionary,Diversified Commercial Services
JWSM,Jaws Mustang Acquisition Corp. Class A Ordinary Shares,$10.02,0.00,0.00%,280345712.00,,2021,3,Finance,Blank Checks
KIQ,Kelso Technologies Inc Ordinary Shares,$0.2778,0.02,7.758%,15090120.00,Canada,,18373,,
KNW,Know Labs Inc. Common Stock,$0.82,-0.05,-5.747%,39530508.00,,2022,66040,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.74,0.02,2.778%,86010291.00,United States,,900431,,
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$1.37,-0.02,-1.439%,205474445.00,United States,,336815,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEU,Centrus Energy Corp. Class A Common Stock,$30.30,-0.52,-1.687%,443557034.00,United States,2014,65569,,
LGL,LGL Group Inc. (The) Common Stock,$4.22,0.00,0.00%,22589394.00,United States,1946,21965,Technology,Industrial Machinery/Components
LNG,Cheniere Energy Inc. Common Stock,$150.83,0.33,0.219%,36726183730.00,United States,2001,964031,Utilities,Oil/Gas Transmission
LODE,Comstock Inc. Common Stock,$0.418,0.0162,4.032%,43068694.00,United States,,285279,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$5.05,0.02,0.398%,284725105.00,,2022,11760,Industrials,Broadcasting
LSF,Laird Superfood Inc. Common Stock,$0.96,0.00,0.00%,8850720.00,,2020,15563,Consumer Staples,Specialty Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$15.57,-0.02,-0.128%,419377530.00,United Kingdom,2012,46470,Industrials,Metal Fabrications
MAG,MAG Silver Corporation Ordinary Shares,$13.13,-0.30,-2.234%,1350454691.00,Canada,,567129,,
MAIA,MAIA Biotechnology Inc. Common Stock,$3.535,-0.225,-5.984%,38872288.00,,2022,49529,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.63,0.00,0.00%,64275495.00,,2022,188,Finance,Finance/Investors Services
MHH,Mastech Digital Inc Common Stock,$9.95,-0.37,-3.585%,115822995.00,United States,,224888,Consumer Discretionary,Professional Services
MIMO,Airspan Networks Holdings Inc. Common Stock,$0.52,-0.0101,-1.905%,38783156.00,,2020,9848,Consumer Discretionary,Telecommunications Equipment
MITQ,Moving iMage Technologies Inc. Common Stock,$1.00,0.00,0.00%,10913510.00,United States,2021,22493,Telecommunications,Telecommunications Equipment
MLSS,Milestone Scientific Inc. Common Stock,$0.77,0.00,0.00%,53898864.00,United States,2015,45997,Health Care,Industrial Specialties
MNK,Mallinckrodt plc Ordinary Shares,$6.01,0.06,1.008%,79157301.00,,2022,34871,Health Care,Biotechnology: Pharmaceutical Preparations
MPTI,M-tron Industries Inc. Common Stock,$11.60,-0.09,-0.77%,31630857.00,,2022,9244,,
MPU,Mega Matrix Corp. Common Stock,$1.75,0.04,2.339%,55237095.00,United States,1998,40407,Consumer Discretionary,Diversified Commercial Services
MSN,Emerson Radio Corporation Common Stock,$0.555,0.0125,2.304%,11678672.00,United States,1994,3690,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$5.25,-0.07,-1.316%,271779249.00,,,246488,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.61,0.1049,20.768%,132531361.00,United States,2017,2540166,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$7.21,-0.23,-3.091%,222356400.00,,2023,127448,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$12.365,-0.0854,-0.686%,26485830.00,United States,2003,2771,Energy,Oil & Gas Production
MYO,Myomo Inc. Common Stock,$0.6779,-0.022,-3.143%,14182829.00,United States,2017,130807,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.2301,-0.0288,-11.124%,121902237.00,Canada,,2528225,,
NAVB,Navidea Biopharmaceuticals Inc. Common Stock,$0.26,-0.004,-1.515%,8541326.00,United States,,33626,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.37,-0.08,-0.766%,195403611.00,United States,2002,16350,Finance,Finance/Investors Services
NBO,Neuberger Berman New York Municipal Fund Inc. Common Stock,$9.65,0.03,0.312%,48997074.00,United States,2002,6773,Finance,Finance/Investors Services
NBW,Neuberger Berman California Municipal Fund Inc Common Stock,$10.80,-0.075,-0.69%,59951275.00,United States,2002,30399,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$1.69,-0.0111,-0.653%,3439900.00,United States,2007,3646,Health Care,Biotechnology: Pharmaceutical Preparations
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$70.55,-1.38,-1.919%,252402220.00,United States,,1442,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$2.65,-0.02,-0.749%,416180579.00,,2021,95511,,
NFGC,New Found Gold Corp Common Shares,$4.94,-0.22,-4.264%,866364978.00,,2021,184753,,
NG,Novagold Resources Inc.,$5.65,-0.23,-3.912%,1887002131.00,Canada,2003,1282197,,
NGD,New Gold Inc.,$1.26,-0.06,-4.545%,860328000.00,Canada,,2742563,,
NHC,National HealthCare Corporation Common Stock,$57.20,-0.12,-0.209%,878328251.00,United States,1986,38652,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$9.12,0.09,0.997%,177224765.00,United States,,54062,Finance,Trusts Except Educational Religious and Charitable
NHWK,NightHawk Biosciences Inc. Common Stock,$0.7701,0.0001,0.013%,20060496.00,United States,2022,18061,Health Care,Biotechnology: Pharmaceutical Preparations
NML,Neuberger Berman MLP and Energy Income Fund Inc. Common Stock,$6.58,-0.09,-1.349%,372815746.00,,2013,170310,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.3867,-0.0233,-1.652%,16134255.00,United States,,25256,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc. Neuberger Berman Real Estate Securities Income Fund Inc.,$3.00,-0.01,-0.332%,142367418.00,United States,2003,233279,Finance,Finance/Investors Services
NSTB,Northern Star Investment Corp. II Class A Common stock,$10.06,0.0148,0.147%,121461593.00,,2021,312,Industrials,Consumer Electronics/Appliances
